出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞士商瑞士銀行股份有限公司台中分公司,太陽能,4,2025,2026-03-19
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,香奈兒有限公司,太陽能,40,2025,2026-03-19
允強實業股份有限公司,斗六二廠,美商高盛亞洲證券有限公司台北分公司,太陽能,174,2025,2026-03-18
允強實業股份有限公司,斗六二廠,新加坡商輝達開發有限公司台灣分公司,太陽能,350,2025,2026-03-18
彰源企業股份有限公司,彰源企業-一廠,台灣艾司摩爾股份有限公司,太陽能,117,2025,2026-03-18
維鎮工業股份有限公司,維鎮,奧美廣告股份有限公司,太陽能,127,2024,2026-06-02
如陽科技股份有限公司,如陽科技三場自發自用,荷蘭商愛特思股份有限公司台灣分公司,太陽能,38,2024,2026-06-02
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,奧美廣告股份有限公司,太陽能,26,2024,2026-05-28
國泰人壽保險股份有限公司,國泰人壽內湖台聯電訊大樓,羅技電子股份有限公司,太陽能,48,2024,2026-05-26
國泰人壽保險股份有限公司,置地廣場桃園,美商波士頓顧問有限公司台灣分公司,太陽能,44,2024,2026-05-26
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,羅技電子股份有限公司,太陽能,49,2024,2026-05-26
維鎮工業股份有限公司,維鎮,美商波士頓顧問有限公司台灣分公司,太陽能,161,2024,2026-05-20
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,奧美廣告股份有限公司,太陽能,13,2024,2026-05-20
台灣化學纖維股份有限公司,台化新港原絲廠NF6廠房,奧美廣告股份有限公司,太陽能,66,2024,2026-05-20
台灣化學纖維股份有限公司,台化新港公用廠保養工廠及苛化廠房,奧美廣告股份有限公司,太陽能,54,2024,2026-05-20
台灣化學纖維股份有限公司,台化新港PABS廠務大樓及原料倉庫,奧美廣告股份有限公司,太陽能,84,2024,2026-05-20
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,台灣培生教育出版股份有限公司,太陽能,2,2024,2026-05-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2026-05-18
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,英卓證券投資顧問股份有限公司,太陽能,32,2024,2026-05-07
永喆環保科技有限公司,永喆樹林一廠,美商妥斯特國際股份有限公司台灣分公司,太陽能,23,2024,2026-05-05
台灣化學纖維股份有限公司,台灣化學纖維股份有限公司三期,美商妥斯特國際股份有限公司台灣分公司,太陽能,57,2024,2026-05-05
明徽能源股份有限公司,明徽能源股份有限公司,美商妥斯特國際股份有限公司台灣分公司,太陽能,61,2024,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2026-04-27
國泰人壽保險股份有限公司,國泰人壽土城沛陂段,新加坡商輝達開發有限公司台灣分公司,太陽能,171,2024,2026-03-30
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,新加坡商輝達開發有限公司台灣分公司,太陽能,24,2024,2026-03-20
國泰人壽保險股份有限公司,國泰人壽內湖台聯電訊大樓,新加坡商輝達開發有限公司台灣分公司,太陽能,23,2024,2026-03-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2026-03-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣先藝科技股份有限公司,生質能,9,2024,2026-03-10
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2026-02-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣先藝科技股份有限公司,生質能,350,2024,2026-02-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,英屬維京群島商道衡有限公司台灣分公司,生質能,30,2024,2026-02-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台英帝國菸草製造股份有限公司,生質能,215,2024,2026-01-30
永湖複合材料股份有限公司,永湖#1、永湖#2,安永聯合會計師事務所,太陽能,620,2024,2026-01-30
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,安生理算檢定有限公司,生質能,24,2024,2026-01-30
道達爾能源股份有限公司,道達爾能源股份有限公司,安永聯合會計師事務所,太陽能,50,2024,2026-01-21
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2026-01-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商雅詩蘭黛股份有限公司台灣分公司,生質能,330,2024,2026-01-16
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商蘋果電子股份有限公司台灣分公司,生質能,"45,000",2024,2026-01-16
新加坡商傑樂生技股份有限公司台灣分公司,新加坡商傑樂生技股份有限公司 台灣分公司,安永聯合會計師事務所,太陽能,98,2024,2026-01-13
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,美商雅詩蘭黛股份有限公司台灣分公司,太陽能,9,2024,2026-01-09
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,安永聯合會計師事務所,生質能,974,2024,2026-01-06
梧濟工業股份有限公司,梧濟工業股份有限公司,挪威商挪迪克半導體股份有限公司台灣分公司,太陽能,222,2024,2026-01-01
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商吉立亞醫藥有限公司台灣分公司,生質能,220,2024,2025-12-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商漢愛有限公司台灣分公司,生質能,50,2024,2025-12-22
臺北市立忠孝國民中學,臺北市立忠孝國民中學,台灣艾司摩爾股份有限公司台南分公司,太陽能,3,2024,2025-12-18
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2025-12-12
英特盛科技股份有限公司,宿舍123.88KW,台灣艾司摩爾股份有限公司,太陽能,14,2024,2025-12-10
英屬開曼群島商功成資本有限公司台灣分公司,英屬開曼群島商功成資本有限公司台灣分公司,台灣艾司摩爾股份有限公司,太陽能,5,2024,2025-12-10
英特盛科技股份有限公司,宿舍66.12KW,台灣艾司摩爾股份有限公司,太陽能,9,2024,2025-12-10
衛生福利部嘉南療養院,衛生福利部嘉南療養院2期,台灣艾司摩爾股份有限公司,太陽能,44,2024,2025-12-10
台典機械股份有限公司,台典機械鳳凰廠,台灣艾司摩爾股份有限公司,太陽能,37,2024,2025-12-05
梧濟工業股份有限公司,梧濟工業股份有限公司,香港商TRITON有限公司,太陽能,1,2024,2025-12-05
大豐環保科技股份有限公司,台南拆車夢工廠,香港商TRITON有限公司,太陽能,41,2024,2025-12-05
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,嘉瓦士有限公司,太陽能,4,2024,2025-12-05
國立澎湖科技大學,國立澎湖科技大學,台灣艾司摩爾科技股份有限公司,太陽能,52,2024,2025-11-30
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,渣打國際商業銀行股份有限公司,生質能,"2,203",2024,2025-11-27
國立澎湖科技大學,國立澎湖科技大學,台灣艾司摩爾股份有限公司,太陽能,1,2024,2025-11-26
明徽能源股份有限公司,明徽能源股份有限公司,台灣艾司摩爾股份有限公司,太陽能,38,2024,2025-11-25
明徽能源股份有限公司,明徽能源_屋頂二期,台灣艾司摩爾股份有限公司,太陽能,281,2024,2025-11-25
明徽能源股份有限公司,明徽能源_屋頂二期,台灣艾司摩爾股份有限公司,太陽能,101,2024,2025-11-25
滿鑫漁具有限公司,滿鑫漁具,台灣艾司摩爾股份有限公司台南分公司,太陽能,47,2024,2025-11-25
晃誼科技股份有限公司,晃誼科技-1,台灣艾司摩爾股份有限公司台南分公司,太陽能,73,2024,2025-11-22
晃誼科技股份有限公司,晃誼科技-1,台灣日置電機股份有限公司,太陽能,16,2024,2025-11-22
東豐纖維企業股份有限公司,東豐纖維路竹廠三期439.52KWp,台灣日置電機股份有限公司,太陽能,9,2024,2025-11-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,83,2024,2025-11-20
安大科技股份有限公司,安大科技太陽光電系統工程,美商妥斯特國際股份有限公司台灣分公司,太陽能,9,2023,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,澳商澳盛銀行集團股份有限公司,生質能,480,2023,2026-03-31
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,新加坡商萬事達卡股份有限公司台灣分公司,生質能,500,2023,2026-03-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商漢愛有限公司台灣分公司,生質能,73,2023,2026-03-20
梧濟工業股份有限公司,梧濟工業股份有限公司,美商芮博士半導體有限公司,太陽能,9,2023,2026-02-25
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,德麥食品股份有限公司,生質能,1,2023,2025-12-29
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,28,2023,2025-09-22
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,72,2023,2025-09-22
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商摩根大通銀行股份有限公司台北分公司,生質能,"3,319",2023,2025-08-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,128,2023,2025-08-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,100,2023,2025-07-21
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,100,2023,2025-06-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商雷夫羅倫有限公司台灣分公司,生質能,"2,024",2023,2025-06-06
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,85,2023,2025-05-22
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣美佳境股份有限公司,生質能,100,2023,2025-05-22
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,85,2023,2025-04-22
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商妥斯特國際股份有限公司台灣分公司,生質能,155,2023,2025-04-11
臺北市北投區公所,臺北市北投區公所,馮**,太陽能,1,2023,2025-03-29
洪輝祥,洪輝祥,中菱綠材料股份有限公司,太陽能,10,2023,2025-03-29
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,100,2023,2025-03-24
和平電力股份有限公司,和平電廠,台灣微軟營運有限公司,太陽能,310,2023,2025-02-27
李長榮實業股份有限公司,李長榮實業股份有限公司,台灣微軟營運有限公司,太陽能,64,2023,2025-02-25
道達爾能源股份有限公司,道達爾能源股份有限公司,台灣微軟營運有限公司,太陽能,20,2023,2025-02-25
高偉精密科技股份有限公司,高偉精密1期,台灣微軟營運有限公司,太陽能,405,2023,2025-02-25
光洋應用材料科技股份有限公司,光洋科機車棚,台灣微軟營運有限公司,太陽能,23,2023,2025-02-21
駿陞事業股份有限公司,昇恆昌金湖飯店案場,台灣微軟營運有限公司,太陽能,31,2023,2025-02-21
新加坡商傑樂生技股份有限公司台灣分公司,新加坡商傑樂生技股份有限公司 台灣分公司,台灣微軟營運有限公司,太陽能,18,2023,2025-02-21
立肯國際股份有限公司,立肯中壢廠太陽能系統,台灣微軟營運有限公司,太陽能,333,2023,2025-02-21
東豐纖維企業股份有限公司,東豐纖維路竹廠二期250.24KWp,台灣微軟營運有限公司,太陽能,147,2023,2025-02-20
東豐纖維企業股份有限公司,東豐纖維企業股份有限公司 路竹織染廠,台灣微軟營運有限公司,太陽能,125,2023,2025-02-20
國立澎湖科技大學,國立澎湖科技大學,台灣微軟營運有限公司,太陽能,290,2023,2025-02-20
萬達光電科技股份有限公司,萬達光電B棟 屋頂型,台灣微軟營運有限公司,太陽能,102,2023,2025-02-20
萬達光電科技股份有限公司,萬達光電,台灣微軟營運有限公司,太陽能,63,2023,2025-02-20
臺北市北投區公所,臺北市北投區公所,台灣微軟營運有限公司,太陽能,28,2023,2025-02-20
昱京科技股份有限公司,昱京科技股份有限公司,台灣微軟營運有限公司,太陽能,39,2023,2025-02-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,100,2023,2025-02-19
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,台灣微軟營運有限公司,太陽能,16,2023,2025-02-19
松讚實業股份有限公司,松讚(全興廠),台灣微軟營運有限公司,太陽能,220,2023,2025-02-18
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商蘋果電子股份有限公司台灣分公司,生質能,"35,000",2023,2025-02-17
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,100,2023,2025-01-21
財團法人工業技術研究院,財團法人工業技術研究院-中興院區,台灣美佳境股份有限公司,太陽能,12,2023,2025-01-17
財團法人工業技術研究院-中創園區,財團法人工業技術研究院-中創園區,台灣美佳境股份有限公司,太陽能,87,2023,2025-01-17
財團法人工業技術研究院-光復院區,財團法人工業技術研究院-光復院區,台灣美佳境股份有限公司,太陽能,23,2023,2025-01-17
財團法人工業技術研究院-南創園區,財團法人工業技術研究院-南創園區,台灣美佳境股份有限公司,太陽能,35,2023,2025-01-17
交通部民用航空局臺中航空站,交通部民用航空局臺中航空站,宏齊科技股份有限公司,太陽能,8,2023,2025-01-14
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,台灣微軟營運有限公司,太陽能,44,2023,2025-01-06
國泰人壽保險股份有限公司,置地廣場桃園,台灣微軟營運有限公司,太陽能,36,2023,2025-01-06
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,台灣微軟營運有限公司,太陽能,32,2023,2025-01-06
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,85,2023,2024-12-25
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣美佳境股份有限公司,太陽能,111,2023,2024-12-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,美商摩根大通銀行股份有限公司台北分公司,生質能,"3,351",2023,2024-12-12
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣電通股份有限公司,生質能,218,2023,2024-12-04
交通部民用航空局臺中航空站,交通部民用航空局臺中航空站,台灣微軟營運有限公司,太陽能,115,2023,2024-11-30
臺北市內湖區麗湖國民小學,臺北市內湖區麗湖國民小學,台灣美佳境股份有限公司,太陽能,26,2023,2024-11-29
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,85,2023,2024-11-21
臺藝工業股份有限公司,敏鈞精密屋頂型249.69kWp,台灣微軟營運有限公司,太陽能,185,2023,2024-11-20
臺北市立金華國民中學,臺北市立金華國民中學,台灣美佳境股份有限公司,太陽能,62,2023,2024-11-14
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,英商英國電信有限公司台灣分公司,太陽能,36,2023,2024-10-29
越峯電子材料股份有限公司,越峯電子材料股份有限公司,英商英國電信有限公司台灣分公司,太陽能,140,2023,2024-10-26
上品王食品股份有限公司,石安牧場沼氣發電廠,歐萊德國際股份有限公司,生質能,3,2023,2024-10-25
禾原新能源科技股份有限公司,竹東汽修廠,台灣美佳境股份有限公司,太陽能,2,2023,2024-10-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,85,2023,2024-10-24
明徽能源股份有限公司,明徽能源股份有限公司,英商英國電信有限公司台灣分公司,太陽能,9,2023,2024-10-23
臺北市文山區公所,臺北市文山區公所,台灣美佳境股份有限公司,太陽能,21,2023,2024-09-28
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,178,2023,2024-09-26
明徽能源股份有限公司,明徽能源股份有限公司,lululemon athletica TW ltd.,太陽能,23,2023,2024-09-14
明徽能源股份有限公司,明徽能源_屋頂二期,lululemon athletica TW ltd.,太陽能,347,2023,2024-09-14
國泰人壽保險股份有限公司,置地廣場桃園,永智顧問股份有限公司,太陽能,2,2023,2024-08-31
常立塑膠有限公司,常立塑膠,德凱宜特股份有限公司,太陽能,15,2023,2024-08-29
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,103,2023,2024-08-21
禾原新能源科技股份有限公司,竹東汽修廠,東明油墨股份有限公司,太陽能,3,2023,2024-08-17
越峯電子材料股份有限公司,越峯電子材料股份有限公司,lululemon athletica TW ltd.,太陽能,90,2023,2024-08-14
常立塑膠有限公司,常立塑膠,唐虞企業股份有限公司,太陽能,1,2023,2024-08-12
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,193,2023,2024-07-29
財團法人天主教靈醫會,聖嘉民啟智中心,捷順企業股份有限公司,太陽能,3,2023,2024-07-23
東豐纖維企業股份有限公司,東豐纖維企業股份有限公司 路竹織染廠,淨毒五郎有限公司,太陽能,8,2023,2024-07-16
上品王食品股份有限公司,石安牧場沼氣發電廠,歐萊德國際股份有限公司,生質能,16,2023,2024-07-12
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,綠點高新科技股份有限公司,太陽能,1,2023,2024-07-11
財團法人天主教靈醫會,長照二期太陽光電系統,捷順企業股份有限公司,太陽能,2,2023,2024-06-28
財團法人天主教靈醫會,聖嘉民老人照顧中心,捷順企業股份有限公司,太陽能,2,2023,2024-06-28
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,208,2023,2024-06-24
萬家香醬園股份有限公司,萬家香三期,美商蘋果電子股份有限公司台灣分公司,太陽能,63,2023,2024-06-21
萬家香醬園股份有限公司,萬家香一期,美商蘋果電子股份有限公司台灣分公司,太陽能,78,2023,2024-06-21
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣富士通將軍國際股份有限公司,生質能,152,2023,2024-06-21
萬家香醬園股份有限公司,萬家香二期,美商蘋果電子股份有限公司台灣分公司,太陽能,140,2023,2024-06-21
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,信義房屋股份有限公司,生質能,100,2023,2024-06-07
伯鑫工具股份有限公司,伯鑫工具太陽光電發,信義房屋股份有限公司,太陽能,71,2023,2024-06-03
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣優衣庫有限公司,生質能,238,2023,2024-05-24
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,愛普生捷修網股份有限公司,太陽能,13,2023,2024-05-21
財團法人工業技術研究院-南創園區,財團法人工業技術研究院-南創園區,寬承精密有限公司,太陽能,2,2023,2024-05-15
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,第一化粧品廠股份有限公司,太陽能,10,2023,2024-05-09
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台達電子工業股份有限公司,生質能,"1,801",2023,2024-05-08
永喆環保科技有限公司,永喆樹林一廠,信義房屋股份有限公司,太陽能,67,2023,2024-05-08
慶橋實業有限公司,慶橋實業有限公司,雷尼紹股份有限公司,太陽能,38,2023,2024-05-07
臺北市政府產業發展局,臺北市政府產業發展局,日益智慧能源股份有限公司,太陽能,1,2023,2024-05-04
慶橋實業有限公司,慶橋實業有限公司,信義房屋股份有限公司,太陽能,18,2023,2024-05-02
高雄市動物保護處,燕巢動物保護關愛園區(開放區),群翌能源股份有限公司,太陽能,5,2023,2024-05-01
高雄市動物保護處,燕巢動物保護關愛園區(行政區),群翌能源股份有限公司,太陽能,6,2023,2024-05-01
臺北市政府消防局,臺北市政府消防局寶橋分隊,嘉瓦士有限公司,太陽能,1,2023,2024-04-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,歐萊德國際股份有限公司,生質能,10,2023,2024-04-22
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,雲豹能源科技股份有限公司,太陽能,2,2023,2024-04-20
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣愛普生科技股份有限公司,太陽能,10,2023,2024-04-20
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣愛普生科技股份有限公司,太陽能,6,2023,2024-04-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,臺灣土地銀行（股）受託經管國泰一號不動產投資信託基金,生質能,142,2023,2024-04-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣富時國際股份有限公司,生質能,396,2023,2024-04-19
客家委員會客家文化發展中心銅鑼園區,客家委員會客家文化發展中心銅鑼園區,宜鼎國際股份有限公司,太陽能,139,2023,2024-04-13
客家委員會客家文化發展中心六堆園區,客家委員會客家文化發展中心六堆園區,宜鼎國際股份有限公司,太陽能,98,2023,2024-04-13
客家委員會客家文化發展中心,六堆客家文化園區,宜鼎國際股份有限公司,太陽能,83,2023,2024-04-13
伯鑫工具股份有限公司,伯鑫工具太陽光電發,財團法人綠色和平基金會,太陽能,124,2023,2024-04-12
利佳興業股份有限公司,利佳興業股份有限公司,國泰人壽保險股份有限公司,太陽能,121,2023,2024-04-11
裕益汽車股份有限公司,順益一期,信義房屋股份有限公司,太陽能,218,2023,2024-04-11
財團法人桃園市私立脊髓損傷潛能發展中心,脊髓中心太陽光電系統,台灣大哥大股份有限公司,太陽能,67,2023,2024-04-09
財團法人桃園市幸福社會福利基金會,幸福基金會太陽光電系統,台灣大哥大股份有限公司,太陽能,95,2023,2024-04-09
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,鼎越開發股份有限公司,生質能,96,2023,2024-03-27
財團法人工業技術研究院,財團法人工業技術研究院-中興院區,台灣微軟營運有限公司,太陽能,"1,162",2023,2024-03-27
臺北市政府產業發展局,臺北市政府產業發展局新生公園夢想館,愛普生捷修網股份有限公司,太陽能,20,2023,2024-03-21
明徽能源股份有限公司,明徽能源股份有限公司,第一金人壽保險股份有限公司,太陽能,20,2023,2024-03-21
衛生福利部嘉南療養院,衛生福利部嘉南療養院1期,國泰世華商業銀行股份有限公司,太陽能,34,2023,2024-03-16
臺北市政府消防局,臺北市政府消防局寶橋分隊,晶豪科技股份有限公司,太陽能,3,2023,2024-03-15
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司,至盈實業股份有限公司,太陽能,100,2023,2024-03-15
臺北市政府產業發展局,臺北市政府產業發展局 士東市場,賽諾菲股份有限公司,太陽能,19,2023,2024-03-13
臺北市政府產業發展局,臺北市政府產業發展局新生公園未來館,台灣愛普生科技股份有限公司,太陽能,20,2023,2024-03-13
國立海洋生物博物館,國立海洋生物博物館,台新國際商業銀行,太陽能,6,2023,2024-03-06
慶橋實業有限公司,慶橋實業有限公司,覺數據有限公司,太陽能,2,2023,2024-03-05
上品王食品股份有限公司,石安牧場沼氣發電廠,台灣積體電路製造股份有限公司,生質能,"1,708",2023,2024-03-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,歐萊德國際股份有限公司,生質能,38,2023,2024-03-02
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,品浩太平洋證券投資顧問股份有限公司,生質能,3,2023,2024-02-26
上品王食品股份有限公司,石安牧場沼氣發電廠,新加坡商安富利股份有限公司台灣分公司,生質能,50,2023,2024-02-21
上品王食品股份有限公司,石安牧場沼氣發電廠,鉅舵顧問有限公司,生質能,2,2023,2024-02-20
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,豐安物流股份有限公司,太陽能,1,2023,2024-02-19
財團法人工業技術研究院-光復院區,財團法人工業技術研究院-光復院區,德凱宜特股份有限公司,太陽能,32,2023,2024-01-31
財團法人宜蘭縣私立竹林養護院,竹林養護院,美科實業股份有限公司,太陽能,4,2023,2024-01-31
明徽能源股份有限公司,明徽能源_屋頂二期,玉山商業銀行股份有限公司,太陽能,359,2023,2024-01-25
光洋應用材料科技股份有限公司,光洋科機車棚,耀登科技股份有限公司,太陽能,20,2023,2024-01-25
衛生福利部嘉南療養院,衛生福利部嘉南療養院1期,國泰世華商業銀行股份有限公司,太陽能,54,2023,2024-01-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,安聯人壽保險股份有限公司,生質能,20,2023,2024-01-24
明徽能源股份有限公司,明徽能源_屋頂二期,台灣微軟營運有限公司,太陽能,600,2023,2024-01-20
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台達電子工業股份有限公司,生質能,"3,000",2023,2024-01-19
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,國泰人壽保險股份有限公司,生質能,1,2023,2024-01-18
財團法人宜蘭縣私立竹林養護院,竹林養護院,美科實業股份有限公司,太陽能,24,2023,2024-01-10
財團法人工業技術研究院-中創園區,財團法人工業技術研究院-中創園區,台灣迪卡儂有限公司,太陽能,109,2023,2024-01-05
國立海洋生物博物館,國立海洋生物博物館,台新國際商業銀行,太陽能,7,2023,2024-01-03
財團法人天主教靈醫會,聖嘉民啟智中心,捷順企業股份有限公司,太陽能,12,2023,2024-01-02
明徽能源股份有限公司,明徽能源股份有限公司,玉山商業銀行股份有限公司,太陽能,50,2023,2023-12-29
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣迪卡儂有限公司,太陽能,17,2023,2023-12-26
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣迪卡儂有限公司,太陽能,250,2023,2023-12-26
上品王食品股份有限公司,石安牧場沼氣發電廠,大江生醫股份有限公司,生質能,10,2023,2023-12-25
財團法人天主教靈醫會,聖嘉民老人照顧中心,大江生醫股份有限公司,太陽能,14,2023,2023-12-23
明徽能源股份有限公司,明徽能源_屋頂二期,第一金人壽保險股份有限公司,太陽能,71,2023,2023-12-23
駿陞事業股份有限公司,昇恆昌金湖飯店案場,德凱宜特股份有限公司,太陽能,50,2023,2023-12-23
財團法人天主教靈醫會,長照二期太陽光電系統,大江生醫股份有限公司,太陽能,13,2023,2023-12-23
光洋應用材料科技股份有限公司,光洋科機車棚,台灣希克斯國際股份有限公司,太陽能,40,2023,2023-12-23
和平電力股份有限公司,和平電廠,台灣迪卡儂有限公司,太陽能,300,2023,2023-12-22
光洋應用材料科技股份有限公司,光洋科機車棚,國泰人壽保險股份有限公司,太陽能,1,2023,2023-12-15
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,中良工業股份有限公司,生質能,60,2023,2023-12-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,安聯證券投資信託股份有限公司,生質能,950,2023,2023-12-14
上品王食品股份有限公司,石安牧場沼氣發電廠,福記梅臺行,生質能,1,2023,2023-12-13
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,台灣米高蒲志國際股份有限公司,太陽能,1,2023,2023-12-13
上品王食品股份有限公司,石安牧場沼氣發電廠,銘汎有限公司,生質能,1,2023,2023-12-13
駿陞事業股份有限公司,昇恆昌金湖飯店案場,佳世達科技股份有限公司,太陽能,1,2023,2023-12-11
永喆環保科技有限公司,永喆樹林一廠,英富霖諮詢股份有限公司,太陽能,8,2023,2023-12-09
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,挪威商挪迪克半導體股份有限公司台灣分公司,生質能,"1,045",2023,2023-12-04
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,品浩太平洋證券投資顧問股份有限公司,生質能,250,2023,2023-12-01
國立海洋生物博物館,國立海洋生物博物館,台新國際商業銀行,太陽能,48,2023,2023-12-01
