出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
日勝化工股份有限公司,六號倉,美商高盛亞洲證券有限公司台北分公司,太陽能,2,2025,2026-05-29
展輪工業股份有限公司,展輪工業股份有限公司,奧美廣告股份有限公司,太陽能,89,2025,2026-05-29
財團法人工業技術研究院-花蓮OMEGA ZONE,財團法人工業技術研究院-花蓮OMEGA ZONE,財團法人工業技術研究院,太陽能,12.909,2025,2026-05-29
展輪工業股份有限公司,展輪工業股份有限公司,美商高盛亞洲證券有限公司台北分公司,太陽能,167,2025,2026-05-29
高偉精密科技股份有限公司,高偉精密1期,羅氏大藥廠股份有限公司,太陽能,16,2025,2026-05-28
滿鑫漁具有限公司,滿鑫漁具,羅氏大藥廠股份有限公司,太陽能,89,2025,2026-05-28
高偉精密科技股份有限公司,高偉精密1期,台灣羅氏醫療診斷設備股份有限公司,太陽能,392,2025,2026-05-28
旭紘環保科技股份有限公司,旭紘環保科技股份有限公司,荷蘭商愛特思股份有限公司台灣分公司,太陽能,204,2025,2026-05-28
天力離岸風電科技股份有限公司,臺中廠(B棟)-195.5kWp太陽光電發電系統,荷蘭商愛特思股份有限公司台灣分公司,太陽能,5,2025,2026-05-28
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,財團法人工業技術研究院,太陽能,0.047,2025,2026-05-27
財團法人工業技術研究院-南創園區,財團法人工業技術研究院-南創園區,財團法人工業技術研究院,太陽能,0.892,2025,2026-05-27
財團法人工業技術研究院-中創園區,財團法人工業技術研究院-中創園區,財團法人工業技術研究院,太陽能,0.253,2025,2026-05-27
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區83.49kW,財團法人工業技術研究院,太陽能,0.367,2025,2026-05-27
新泰工業股份有限公司,新泰-南青咯1188號電廠,羅技電子股份有限公司,太陽能,33,2025,2026-05-27
新泰工業股份有限公司,新泰-南青咯1188號電廠,台灣摩根士丹利證券股份有限公司,太陽能,119,2025,2026-05-27
